1. Did you notice the participation of bots during your pull request submission/acceptance process?,"2. Based on your experience, it was easier to contribute to the project:","3. Based on your experience, rate the relevance of bot support for the following tasks in the projects that you contribute to: [Explain the Project Guidelines (eg. explain how to contribute for new contributors)]","3. Based on your experience, rate the relevance of bot support for the following tasks in the projects that you contribute to: [Help during the code review]","3. Based on your experience, rate the relevance of bot support for the following tasks in the projects that you contribute to: [Decrease time to merge / reject your Pull Request]","3. Based on your experience, rate the relevance of bot support for the following tasks in the projects that you contribute to: [Automate the continuous integration required]","3. Based on your experience, rate the relevance of bot support for the following tasks in the projects that you contribute to: [Run tests / quality assurance tasks]","3. Based on your experience, rate the relevance of bot support for the following tasks in the projects that you contribute to: [License Issues related to contributions]","3. Based on your experience, rate the relevance of bot support for the following tasks in the projects that you contribute to: [Improve the social interaction between integrators and contributors]","4. Do bots support contributions in any tasks not mentioned above? If yes, in which tasks? ","5. From the contributors perspective, what are the problems/challenges of using bots? (Maybe some situation in which you would like to have human support instead of a bot support)",6. What features would you like to add to the bot to better support your tasks as an open source contributor?
Yes,When my pull request was assisted by Bots and members,I do not know,I do not know,I do not know,Relevant support,Relevant support,Very relevant support,I do not know,,"Bots are good for well-formalized tasks that are boring to be done by the humans. Otherwise, we need an AI.",No idea.
Yes,When my pull request was assisted by Bots and members,Very relevant support,Relevant support,Relevant support,Very relevant support,Relevant support,Very relevant support,Very irrelevant support,,"So far I did not hand any problems with bots. However, I can image that if a bot is not aware of one special case this could lead to problems.",Easier setup for my own projects.
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,I do not know,Very relevant support,Very relevant support,I do not know,Relevant support,,"Lack of discoverability of what the bot can do. As a contributor my interaction with a bot is reactive, not proactive. For instance in the PR which lead me to taking part in this survey a maintainer had to ask the bot to run CI tests; I did not know that was possible.",Better discoverability of features as outlined above.
Yes,When my pull request was assisted by Bots and members,Relevant support,I do not know,Irrelevant support,Very relevant support,Relevant support,Very relevant support,Relevant support,,"None that I can think of right now. They have always been varying degrees of helpful, but never problematic ðŸ™‚",-
Yes,When my pull request was assisted by Bots and members,Irrelevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Relevant support,,sometimes it's not clear what is a bot and what isn't,how to fix certain issues (faq or something) 
Yes,When my pull request was assisted by Bots and members,Irrelevant support,Relevant support,Very relevant support,Relevant support,Very relevant support,I do not know,Irrelevant support,Useful to know if your commit is OK for human reviewing or you are going to make changes before.,"Bots are also code, so they may have bugs/misunderstanding. Bots are only a help if used in the good way, but cannot replace human checking at all.","Accuracy, speed and specific, some are just too generic, so they are not useful at all."
Yes,When my pull request was assisted by Bots and members,Very relevant support,Relevant support,Relevant support,Relevant support,Very relevant support,I do not know,Relevant support,,"hardening of controls, detection of errors","automatic error detection, "
Yes,When my pull request was assisted by Bots and members,Very irrelevant support,Relevant support,Relevant support,Very irrelevant support,Very irrelevant support,Very irrelevant support,Very irrelevant support,translation,"bots to be are small useful scripts that make things just a bit easier. they don't enable me to do new things, but lower the barrier for existing tasks â€” e.g. posting a link in the PR that leads to a deployment with the PR's branch so I can try it out in the browser. I could construct the link manually, but having the bot post it is easier and increases the likelihood that I'll use the deployment. also see my study here [https://leif.me/2012/09/on-testing-culture-in-github-projects/] and alexey's work over here [http://alexeyza.com/publications/] (e.g. ""Disrupting Developer Productivity One Bot at a Time"").","i'm happy with it as it is. also i think bots should be focused and specialized so they don't need to have too many features. they should do one thing, and do it well. "
Yes,When my pull request was assisted by Bots and members,I do not know,I do not know,Very relevant support,Very relevant support,Very relevant support,Very relevant support,I do not know,,"The bots I deal with really just do CI stuff. So they don't really get in the way, they just do their thing.",Makes sure the code follows the coding convention and fixes it automagically.
Yes,When my pull request was assisted by Bots and members,Irrelevant support,Very irrelevant support,Relevant support,Very relevant support,Relevant support,I do not know,Irrelevant support,,haven't identified problems or challenges,haven't identified such features
Yes,When my pull request was assisted by Bots and members,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Not that I am aware of. ,Never experienced such a problem (limited experience with bots). ,"Do not know, from what I can tell they presently do a splendid job."
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,Relevant support,Relevant support,Relevant support,Very relevant support,Relevant support,Templated replies reduce costs.,This may be pool if it is too much and can not be suppressed.,"Similar code, issues and PRs for check."
Yes,When my pull request was assisted by Bots and members,Very irrelevant support,Irrelevant support,Very relevant support,Very relevant support,Very relevant support,I do not know,Very irrelevant support,,In most cases human support / participation is also required,I don't know
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Relevant support,"1. They notify you when a new version of package / dependency is available. And sometimes they create a branch and update the package there.
2. If I remember correctly, https://snyk.io had a bot which would also add patches to the repository for packages with known vulerabilities","Pulls are merged by humans. Maybe they become relaxed that bot would have tackled the new pulls but they must get fast at reaching out to pulls and deciding there fate. Sometimes it takes days to get first reply on your pull from the maintainer. So where there is complexity, I'd prefer humans at this point in time.","Build production releases, publish packages to package repositories."
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,I do not know,,I have not had any problems with bots,Bot was already good enough
Yes,When my pull request was assisted by Bots and members,I do not know,Very relevant support,Very relevant support,Very relevant support,Very relevant support,I do not know,Relevant support,,Nothing I can think of,Nothing I can think of
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,Relevant support,Very relevant support,Very relevant support,Relevant support,Relevant support,Yes. One that comes to my mind is cherrypicking PRs across branches.,Reviews and approvals need a human contributor. ,More linting/vetting code capabilities.
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Irrelevant support,"Connecting the right people, like automatically tagging past maintainers from the same section of the code.","None, all bots have been fine.","None, all bots have been fine."
Yes,When my pull request was assisted by Bots and members,Very relevant support,I do not know,Relevant support,Relevant support,Very relevant support,Very relevant support,Relevant support,Issues triage,Code review is better if the last person who contributed on the modified code is the one doing the review,Nothing that I can think of
Yes,When my pull request was assisted by Bots and members,I do not know,Relevant support,Relevant support,Very relevant support,Very relevant support,I do not know,Irrelevant support,,"Bots sometimes may reject contributions by formal criteria, not allowing humans to review it.",Bot's usage help and docs â€”Â it's unclear which bots are available and what they can do
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,I do not know,Relevant support,Very relevant support,I do not know,I do not know,,I did only a several contributions where I didn't need any help.,No idea
Yes,When my pull request was assisted by Bots and members,Very relevant support,Very relevant support,I do not know,Very relevant support,Very relevant support,Very relevant support,I do not know,Maybe enforcement of code style rules? E.g. a PEP8 bot or a git commit messages cop bot.,"I haven't encountered any yet. Maybe it's because an average OSS contributor is quite tech-oriented and they understand the scope of each bot quite clearly and are ok with bots.

Come to think about it, I'd be anxious if a project had an all-in-one uberbot, like Siri or Cortana. I'm much more ok with a lot of scope-limited bots.","I don't know, but I'm open to new ideas."
Yes,When my pull request was assisted by Bots and members,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,,Configuration,-
Yes,When my pull request was assisted by Bots and members,Very relevant support,Irrelevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,Irrelevant support,,Their understanding is limited,Option to let bot's developer know of features requests
Yes,When my pull request was assisted by Bots and members,Very relevant support,I do not know,Relevant support,Very relevant support,Very relevant support,I do not know,I do not know,,Sometimes they don't learn from others situations,"Intelligence based on others issues and pull requests, for example"
Yes,When my pull request was assisted by Bots and members,I do not know,Very irrelevant support,I do not know,Relevant support,Relevant support,Relevant support,Very irrelevant support,,"Bots not running sometimes (bug). I have cases where I submitted a PR, then later made changes to it by amending a commit + push force, and in some cases bots do not detect that they should run again.

For example, in this PR: https://github.com/Fody/Costura/pull/234 my most recent commit is 3d6d54f but the bot responsible for CI never ran and a build with my most recent commit never happened",N/A
Yes,When my pull request was assisted only by project members,Very irrelevant support,Very irrelevant support,Relevant support,Relevant support,Relevant support,Relevant support,Very irrelevant support,,Bots are artificial and a not a substitute for real humans handling pull requests.,.
Yes,When my pull request was assisted by Bots and members,Irrelevant support,Relevant support,I do not know,Very irrelevant support,Irrelevant support,Relevant support,I do not know,,"In more complex situation, when it is not clear what action should be taken next.",Ability to learn over time.
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,,"Longer time to implement, requires maintenance.","auto fixes of code style, warnings about wrongdoings etc."
Yes,When my pull request was assisted only by project members,Relevant support,Irrelevant support,Relevant support,Very relevant support,Irrelevant support,Relevant support,Very irrelevant support,,"Sometimes CI can fail due to irrelevant settings or for the project as a whole due to unrelated issues, and in those cases auto-rejection isn't helpful","I think we use bots effectively in the situations where they can be, and I'm not sure additional features would be that helpful."
Yes,When my pull request was assisted by Bots and members,Irrelevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,Relevant support,Irrelevant support,Automated tagging; Notification of Code Owners;,Prevent comment spamming (Delete or update previous comment instead); -,Help to calculate/annotate various metrics; Help keep track of changes even under steady commit rebasing.
Yes,When my pull request was assisted by Bots and members,Very relevant support,Relevant support,Irrelevant support,Relevant support,Relevant support,I do not know,I do not know,No,"Bots are good for automated checks, after that human support is needed to review and merge",Bots are available for most of my needs
Yes,When my pull request was assisted by Bots and members,I do not know,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,,No idea,No idea
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,,Hope the bot only say the required information. A too long comment may make me miss the key information.,still no idea
Yes,When my pull request was assisted by Bots and members,Very irrelevant support,Very relevant support,Relevant support,Very relevant support,Very relevant support,Irrelevant support,Relevant support,,nope,"force the project owner to take action on the PR (review, accept or reject) in a certain amount of time"
No,When my pull request was assisted by Bots and members,Irrelevant support,Irrelevant support,I do not know,Very relevant support,Very relevant support,Irrelevant support,Irrelevant support,,"I don't know what bot was used in my submission, and I don't know how bot is defined here, so I can't really answer.",I'm fine with my meat-people
Yes,When my pull request was assisted by Bots and members,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,,Corner cases analysis,Short random pleasant expression
Yes,When my pull request was assisted by Bots and members,Very relevant support,I do not know,Relevant support,Very relevant support,Very relevant support,I do not know,Very relevant support,,Getting more insight into the codebase,Ability to converse and provide more insight into the code base and contribution giudeline
Yes,When my pull request was assisted by Bots and members,I do not know,I do not know,I do not know,I do not know,I do not know,I do not know,I do not know,,Â¯\_(ãƒ„)_/Â¯,Â¯\_(ãƒ„)_/Â¯
Yes,When my pull request was assisted by Bots and members,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Irrelevant support,,"Sometimes it can be hard to know what the solution is to make the bot ""happy"".  It may not always be clear.","Good documentation available to know what bots do, and have it be easily reachable from the PR pages."
Yes,When my pull request was assisted by Bots and members,I do not know,I do not know,I do not know,I do not know,I do not know,I do not know,I do not know,,"So far I haven't seen much help from bots on GitHub besides assigning tags or automated nagging people to review / update code.
That saves some time for maintainers but not as much as I wanted to.","No idea, can you make them review PRs and merge them reliably?"
Yes,When my pull request was assisted by Bots and members,I do not know,Relevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,Relevant support,,Code best practices review,Unknown
Yes,When my pull request was assisted only by a Bot,I do not know,Relevant support,Very relevant support,Very relevant support,Very relevant support,I do not know,I do not know,,No case in mind,Already support in the must important tasks
Yes,When my pull request was assisted only by project members,Very relevant support,Irrelevant support,Very irrelevant support,Irrelevant support,Irrelevant support,Very relevant support,I do not know,,"I rather a human to review code changes, I think bots can especially introduce very lurking bugs in code base",Somehow help with documentation
Yes,When my pull request was assisted by Bots and members,I do not know,Relevant support,Relevant support,Relevant support,Relevant support,I do not know,I do not know,,"I think bots are useful. GitHub has made some changes that make them less noisy. In the example linked with my email, the bot added a comment that the code coverage percentage had gone up when all I really did was fix a typo. I don't think comments are the most effective way for bots to engage.","GitHub has addressed some of this already with the pull request checks feature. That offloads some of the discussion into boolean statuses (pass/fail/etc.) I also like when bots are intelligent (closing an open issue that has become stale), prompting to rebase a pull request when there are changes in the base branch, etc. The more intelligent and helpful they are, the better the overall experience."
Yes,When my pull request was assisted by Bots and members,Very relevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,I do not know,I do not know,,"If a bot gets stuck or stops responding and the maintainers are relying on it, getting assistance or attention can be difficult and frustrating.",Make it clear who to contact if the bot's assistance is insufficient
Yes,When my pull request was assisted by Bots and members,Irrelevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,,"Sometimes it is unclear what the bot wants, but for the most part it's not really a problem.",n/a
No,When my pull request was assisted by Bots and members,Very relevant support,I do not know,Relevant support,Very relevant support,Very relevant support,I do not know,Irrelevant support,,"Edge cases or trivial changes that require either special handling or reduced handling, but the bot doesn't know that.","I don't feel that's my call, nor do I have a strong opinion about it. I trust project maintainers to make appropriate decisions about this for their project."
Yes,When my pull request was assisted by Bots and members,Very relevant support,I do not know,Very relevant support,Very relevant support,Very relevant support,Very relevant support,I do not know,,Code reviews,I don't know
Yes,When my pull request was assisted by Bots and members,Very relevant support,Irrelevant support,Relevant support,I do not know,Irrelevant support,I do not know,Irrelevant support,"Yes, the bot alerted me about que requirements to contribute to the project.",I think the worst problem is when the bot misunderstand your request and answer something that is not helpful.,"Maybe the bot could has a reliability rate of his own answers to contributors question. I
f the rate is lower than X, it could alert a human support to check the answer."
Yes,When my pull request was assisted by Bots and members,Relevant support,Irrelevant support,Relevant support,Relevant support,Very relevant support,Very relevant support,Irrelevant support,,It seems that sometimes bots are used to work around deficiencies in the bug tracking system. It seems that the time used to develop these bots could be used better on something else.,I can't think of anything.
Yes,When my pull request was assisted by Bots and members,Very relevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Relevant support,,"Not intelligent enough, I guess :)",More detailled/context aware feedback when requiered
Yes,When my pull request was assisted by Bots and members,I do not know,I do not know,Very relevant support,Very relevant support,Very relevant support,Very relevant support,I do not know,"Eagerness to participate. Knowing that issues will be, in general, responded to relatively quickly compared to a humans response time.",N/A . (so far anyways),"If I could think of anything, it would be on Github already ;) They are everywhere already, it seems."
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,Relevant support,I do not know,Relevant support,Relevant support,I do not know,Not that I know of,Bots are not always good at understand why steps fail,Better advice for resolving issues
Yes,When my pull request was assisted by Bots and members,I do not know,Very relevant support,Very relevant support,Very relevant support,Very relevant support,I do not know,I do not know,,None that Iâ€™ve encountered ,Enforcement of project style guidelines 
Yes,When my pull request was assisted by Bots and members,Irrelevant support,Relevant support,Relevant support,Very relevant support,Very relevant support,Relevant support,Irrelevant support,,Bots can't give feedback about your code. They are only really useful for making sure simple requirements (like having an approver and signing a license agreement) are met.,I don't know of any features a bot might provide that they do not already.
Yes,When my pull request was assisted by Bots and members,Relevant support,Irrelevant support,Very relevant support,Very relevant support,Very relevant support,I do not know,Irrelevant support,,For the things which bots cannot do like having insight in the code,Monetize contributions automatically lol
Yes,When my pull request was assisted by Bots and members,Very relevant support,Irrelevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Irrelevant support,,"Code review: It can be assisted by bots (like for inforcing style guides) but to make sure the code is actually semantically ""clean"", it does not really help right now.",Propose changes if continuous integration or the like fails. 
No,When my pull request was assisted only by project members,Relevant support,Very irrelevant support,I do not know,I do not know,Very relevant support,I do not know,Very irrelevant support,Probably I even didn't notice that support,"In general, bots cannot give me more detailed explanation","Notification to me, that I can understand if it's a bot. Otherwise I don't pay attention to that"
Yes,When my pull request was assisted by Bots and members,Irrelevant support,Irrelevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,Very irrelevant support,,"When there is a problem with tests not passing CI, but I don't know why.",To track what still needs to be done even before submitting the PR for human review.
Yes,When my pull request was assisted by Bots and members,I do not know,Relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,,"I only had bot's support for automated stuff like build and run unit tests, so it's just fine and I didn't have problems with it","Bots that do some code review would be great, but I think it needs a lot of deep learning to be good enough"
Yes,When my pull request was assisted by Bots and members,Relevant support,Irrelevant support,I do not know,Very relevant support,Very relevant support,Very relevant support,Irrelevant support,"Bots also help with issues, not just pull requests.",Sometimes human judgement is needed. For example maybe license agreement isn't necessary if you change one character.,Maybe automatically search the docs and suggest relevant entries
Yes,When my pull request was assisted by Bots and members,Very relevant support,Relevant support,Relevant support,Relevant support,Very relevant support,Relevant support,Relevant support,,-,-
Yes,When my pull request was assisted by Bots and members,Relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,I do not know,,Unclear comments. Not enough information on how to solve the issue.,Notify me when CI is failing.
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,Relevant support,Very relevant support,Very relevant support,I do not know,Very irrelevant support,,Humans have a much better feeling for potential non-obvious future problems.,Auto-correct typical mistakes
Yes,When my pull request was assisted only by project members,Very relevant support,I do not know,I do not know,Very relevant support,Very relevant support,Very relevant support,Irrelevant support,,"CI is fine for bots, but code review should be done by humans. I find the behavior of some bots annoying, e.g.: sometimes they pollute the GitHub conversation with a lot of noise, like a change of 0.0x% in code coverage.",Maybe mention possible duplicated or related issues or pull requests?
Yes,When my pull request was assisted by Bots and members,Relevant support,I do not know,Relevant support,Relevant support,I do not know,I do not know,I do not know,,.,.
Yes,When my pull request was assisted by Bots and members,Relevant support,Very relevant support,Relevant support,Very relevant support,Very relevant support,Relevant support,Irrelevant support,,Bots act opaquely and you cannot reason about them. E.g. they may close an issue but not tell you why.,All bots should be described in CONTRIBUTING.md and their intended behavior. Also exceptions to the rules enforced by bots should also be documented there.
Yes,When my pull request was assisted by Bots and members,Very relevant support,Very relevant support,I do not know,Very relevant support,Very relevant support,Very relevant support,I do not know,,Sometimes overall process is not clear so it can be a challenge to coordinate the process with multiple bots.,So providing an accurate summary of status is important. Some projects do that well while others may not.
Yes,When my pull request was assisted by Bots and members,Relevant support,I do not know,Very relevant support,Relevant support,Relevant support,I do not know,I do not know,Assigning reviewers. Keeping check if required reviews are done. Linting the pr description (useful especially when description is parsed for automatic release notes).,I'm not aware of bots that would be able to replace human as the reviewer of the code.,Not sure
Yes,When my pull request was assisted by Bots and members,Very relevant support,Very relevant support,Very relevant support,I do not know,Very relevant support,Very relevant support,I do not know,,Bots can be hard to interact with on GitHub because they look like humans but don't behave the same way,...
Yes,When my pull request was assisted by Bots and members,Very irrelevant support,Very relevant support,Relevant support,Very relevant support,Very relevant support,Very irrelevant support,Relevant support,,When something that bot flags is wrong (false positive).,Make them optional
Yes,When my pull request was assisted by Bots and members,I do not know,Relevant support,I do not know,Very relevant support,Very relevant support,Relevant support,Irrelevant support,,Licensing bots sometimes prevent PRs to being merged even when the agreement is signed. Force PR updates needed in this case.,"Dynamic behavior? Maybe, based on comment reactions"
Yes,When my pull request was assisted by Bots and members,Very relevant support,Irrelevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,Irrelevant support,"Nope, nothing to add",Never faced any issue with bot,Can't think of anything more than what bots are capable currently.
Yes,When my pull request was assisted by Bots and members,Very relevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,I do not know,Irrelevant support,,The absence of the direct communication with a person who is familiarized with the project,-
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,I do not know,Relevant support,Relevant support,Relevant support,I do not know,Automatically closing stale issues and other boring maintenance tasks.,"For first time contributors, it is better to have human assistance.",--
Yes,When my pull request was assisted by Bots and members,I do not know,I do not know,Relevant support,Relevant support,Relevant support,Very relevant support,I do not know,,N/A,N/A
Yes,When my pull request was assisted by Bots and members,Irrelevant support,Very irrelevant support,I do not know,Relevant support,Very relevant support,Very relevant support,Relevant support,,"Bots rarely have a strong role, in part because they deal badly with developers communicating the intent to go against a standard in a particular place.   For example, there may be a naming standard but the contributed code more correctly uses a naming standard for the interfaced library.",Auto-commit is not reviewed in xx days.
Yes,When my pull request was assisted by Bots and members,I do not know,I do not know,Relevant support,I do not know,Relevant support,I do not know,Relevant support,,"Some time I don't know what's bots talking about.
And not sure which one is more importent, which one I can simple ignore.
And I'm worry about if I ignore some bots message (maybe I don't know how to do), the project manager may fully ignore me due to I'm no fully pass those bot-steps.","Tracking all project manager's activity about this pull request.
Push to project manager some notice if he/she forgot it too long."
Yes,When my pull request was assisted by Bots and members,Very relevant support,Very relevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,Relevant support,"Explan the guideline, code review (linting, standardization, etc.), automation on CI/CD.",Algorithm or logic and business logic related PRs.,"Automate everythings, from test, CI/CD, even for releasing if available."
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,Relevant support,Very relevant support,Very relevant support,Relevant support,Relevant support,,I don't have any problems with bots,I didn't thinked about what can be improved here
Yes,When my pull request was assisted by Bots and members,Very relevant support,Irrelevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,Very irrelevant support,I am really curious why there is no machine learning bot yet :/ bot are very helpful for code.,"bot are good to work on measurable things such as syntax quality, unit tests, regression, duplicate code etc... But very bad to understand new thing (and I hope they will never be good for that ^^).","Machine learning intelligence, bot could learn about all code source on github & stackoverflow to provide better support."
Yes,When my pull request was assisted by Bots and members,Very irrelevant support,Very irrelevant support,Irrelevant support,Relevant support,Relevant support,I do not know,Irrelevant support,,sometime annoying,idk
Yes,When my pull request was assisted by Bots and members,Irrelevant support,Very relevant support,I do not know,Relevant support,Relevant support,Irrelevant support,I do not know,No,Security issues are a concern. Bots can aid code review but should not replace it.,Not Sure
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,I do not know,Very relevant support,Very relevant support,Very relevant support,Irrelevant support,,It feels impersonal when a bot asks me to fill out a CLA.,Show who (if anyone) the PR has been assigned to.
Yes,When my pull request was assisted by Bots and members,Very irrelevant support,Very relevant support,Relevant support,Relevant support,Very relevant support,Very relevant support,Very irrelevant support,,No idea.,Correction suggestions.
Yes,When my pull request was assisted by Bots and members,Relevant support,I do not know,Relevant support,Relevant support,Relevant support,I do not know,Relevant support,It was faster to contact the relevant person.,Bots provide automated feedback but they don't understand context so they can't contribute to the actual PR.,Improve turn-around time of PR/submissions.
No,When my pull request was assisted by Bots and members,Relevant support,Relevant support,I do not know,Very relevant support,Very relevant support,I do not know,Relevant support,,Legitimate of code rather than running through CI,Have no idea.
Yes,When my pull request was assisted by Bots and members,I do not know,I do not know,I do not know,Very relevant support,Very relevant support,Very relevant support,I do not know,,None observed.,I don't know enough to make a suggestion.
Yes,When my pull request was assisted by Bots and members,Very relevant support,Irrelevant support,Relevant support,Relevant support,Relevant support,Relevant support,Irrelevant support,,"One thing I can think of would be if a bot is running some automated process like CI or code quality metrics, and it's failing for some non-obvious reason.","Specifically to the railsbot, I think it does a good job at it's limited scope, which is just making you aware of guidelines."
No,When my pull request was assisted by Bots and members,Relevant support,I do not know,Very relevant support,Relevant support,Very relevant support,Relevant support,Very relevant support,,when add some feature ,Participate in the issue
Yes,When my pull request was assisted by Bots and members,Very relevant support,Very irrelevant support,Relevant support,Relevant support,Relevant support,Very relevant support,I do not know,,For the review itself it is completely useless. ,"Anything that is required to be enforced by the community, like the license agreement check."
Yes,When my pull request was assisted by Bots and members,I do not know,Irrelevant support,Relevant support,Relevant support,Relevant support,Relevant support,Irrelevant support,,"Bots are not the problem here, its just that more developers should be allowed to be part of the GitHub orgnanization ",Bot that can point our to relevant resources on the internet or other similar PR or issues
Yes,When my pull request was assisted by Bots and members,I do not know,Relevant support,Relevant support,Very relevant support,Very relevant support,I do not know,Irrelevant support,no,"I don't care if a bot handles the whole thing, as long as I can call on a human with @theirname when needed.  Problem/challenge would be if you cannot get past a bot that does not understand what is going on, but that is not the case for me on github so far.","None come to mind now. When they do, I'll probably write the bot for it!"
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,Relevant support,Relevant support,"Interaction with test infrastructure (retests), classifications of PR and issues to assign to right people or groups or areas.",Documentation is often missing or very minimal about bots usages.,Improve usability and documentation.
Yes,When my pull request was assisted by Bots and members,Relevant support,I do not know,Irrelevant support,Very relevant support,Very relevant support,Relevant support,Irrelevant support,,Bots only cover the most general cases with exceptions not being covered and having to be manually overwritten. ,none
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,,na,na
Yes,When my pull request was assisted by Bots and members,Relevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,Relevant support,Very relevant support,,"It's work-intensive, but so far only a human reading code can give insightful alternative solutions to a problem or figure out if the code is doing the right thing.","The main thing I want is quality insurance tasks during pull requests. I would also love assistance finding issues and pull requests that I can contribute to action multiple projects. IDK how a bot would help, though."
Yes,When my pull request was assisted by Bots and members,Very relevant support,Irrelevant support,Very relevant support,I do not know,Relevant support,I do not know,Relevant support,,The ones that related with logic / algorithms,"Setting tags, choosing assignees, filling of changelog"
Yes,When my pull request was assisted only by a Bot,Relevant support,Relevant support,Relevant support,Relevant support,Relevant support,Relevant support,Relevant support,,No problem,"My PR was very small, the bot did it best."
Yes,When my pull request was assisted by Bots and members,I do not know,Very relevant support,I do not know,Very relevant support,Very relevant support,Very relevant support,Irrelevant support,,When bots close issues because of lack of recent activity. It doesn't mean they've been fixed.,Have some personal bot system that is not linked to the repo but by me across the repos I'm interacting with.
Yes,When my pull request was assisted by Bots and members,Very relevant support,Very relevant support,Relevant support,Very relevant support,Very relevant support,Relevant support,Irrelevant support,,Bots can't detect at the moment if your PR matches the direction the project is going for.,Can't think of any at the moment
Yes,When my pull request was assisted by Bots and members,Very relevant support,Relevant support,I do not know,Relevant support,Relevant support,Very relevant support,I do not know,Not that I can think of,"If some commit causes a build break, the bot may think it is because of your pull request and it may take longer to have a pull request merged",Maybe the ability to request a new build in a continuous integration bot after enough commits have been made to master
Yes,When my pull request was assisted by Bots and members,Irrelevant support,Irrelevant support,Irrelevant support,Relevant support,Very relevant support,Very relevant support,Irrelevant support,,none,none
Yes,When my pull request was assisted only by project members,Very relevant support,Relevant support,Relevant support,Relevant support,Relevant support,I do not know,Relevant support,,I haven't had a problem with a bot on a PR.,"Again, bots have generally solved the problems that were needed to be solved."
Yes,When my pull request was assisted by Bots and members,Relevant support,I do not know,Very relevant support,Very relevant support,Very relevant support,I do not know,Relevant support,"i had to register as a collaborator or the like with tensorflow , which all happened automatically with bot","if i had run into some snag that a bot wasnt prepared for , and no humans are overseeing the process - that can be a nightmare",maybe allow for contributor to control bot e.g. do a CI run at will.
Yes,When my pull request was assisted by Bots and members,Very relevant support,Relevant support,Very relevant support,Very relevant support,Very relevant support,Very relevant support,Relevant support,"style guide checks, static analysis, vulnerability analysis, release log generation","there's a limited number of encoded states/responses which leads to lack of 'common sense'; I'd prefer to have bots providing reports and notifications, rather than blocking task completion",some artifical intelligence to make it understanding product rules rather than have them configured
