Q1. Explain the Project Guidelines,Q2. Decrease code review effort,Q3. Decrease time to merge / reject of Pull Request,Q4. Automate the continuous integration task,Q5. Run tests / quality assurance tasks,Q6. License Issues related to contributions,Q7 Improve the social interaction between integrators and contributors
Neutral,Relevant,Relevant,Very relevant,Very relevant,Relevant,Relevant
Irrelevant,Very relevant,Relevant,Very relevant,Very relevant,Relevant,Very irrelevant
Relevant,Relevant,Relevant,Relevant,Relevant,Relevant,Relevant
Very relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant
Relevant,Relevant,Very relevant,Very relevant,Very relevant,Neutral,Relevant
Very irrelevant,Relevant,Relevant,Very relevant,Very relevant,Very relevant,Relevant
Irrelevant,Irrelevant,Relevant,Relevant,Irrelevant,Irrelevant,Irrelevant
Relevant,Very relevant,Relevant,Very relevant,Very relevant,Very relevant,Very relevant
Very irrelevant,Very relevant,Relevant,Very relevant,Very relevant,Neutral,Neutral
Neutral,Relevant,Relevant,Neutral,Relevant,Neutral,Neutral
Irrelevant,Relevant,Relevant,Very relevant,Very relevant,Neutral,Neutral
Very irrelevant,Very irrelevant,Very relevant,Very relevant,Very relevant,Very relevant,Very irrelevant
Irrelevant,Irrelevant,Very relevant,Very relevant,Very relevant,Irrelevant,Very irrelevant
Relevant,Very irrelevant,Neutral,Very relevant,Very relevant,Very relevant,Neutral
Neutral,Very relevant,Very relevant,Very relevant,Very relevant,Relevant,Neutral
Very relevant,Relevant,Relevant,Very relevant,Very relevant,Irrelevant,Very irrelevant
Irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevant,Very relevant,Irrelevant
Relevant,Relevant,Irrelevant,Very relevant,Very relevant,Very relevant,Very relevant
Irrelevant,Relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant
Relevant,Relevant,Relevant,Relevant,Relevant,Relevant,Relevant
Relevant,Neutral,Relevant,Very relevant,Very relevant,Very relevant,Irrelevant
Very relevant,Irrelevant,Irrelevant,Relevant,Irrelevant,Very relevant,Very relevant
Relevant,Very relevant,Relevant,Very relevant,Very relevant,Very relevant,Neutral
Very relevant,Relevant,Very relevant,Very relevant,Very relevant,Very relevant,Irrelevant
Very relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant,Neutral
Very relevant,Irrelevant,Relevant,Very relevant,Very relevant,Very relevant,Very irrelevant
Neutral,Very relevant,Very relevant,Very relevant,Very relevant,Neutral,Very relevant
Relevant,Relevant,Neutral,Very relevant,Very relevant,Very relevant,Neutral
Irrelevant,Relevant,Relevant,Very relevant,Very relevant,Very irrelevant,Neutral
Relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant,Neutral
Irrelevant,Relevant,Very relevant,Very relevant,Very relevant,Neutral,Very relevant
Relevant,Irrelevant,Neutral,Neutral,Irrelevant,Irrelevant,Relevant
Relevant,Irrelevant,Very irrelevant,Very relevant,Very relevant,Very irrelevant,Very irrelevant
Relevant,Relevant,Relevant,Very relevant,Very relevant,Relevant,Relevant
Very relevant,Relevant,Very relevant,Very relevant,Very relevant,Very relevant,Relevant
Very relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant
Relevant,Irrelevant,Relevant,Relevant,Relevant,Very irrelevant,Very irrelevant
Very relevant,Very relevant,Neutral,Very relevant,Very relevant,Very relevant,Very relevant
Neutral,Relevant,Neutral,Relevant,Relevant,Neutral,Neutral
Very relevant,Relevant,Neutral,Relevant,Very relevant,Very relevant,Neutral
Very relevant,Relevant,Relevant,Relevant,Very relevant,Very relevant,Relevant
Very relevant,Neutral,Neutral,Neutral,Relevant,Neutral,Neutral
Very relevant,Neutral,Relevant,Very relevant,Very relevant,Very relevant,Relevant
Relevant,Neutral,Neutral,Relevant,Very relevant,Neutral,Relevant
Irrelevant,Irrelevant,Very relevant,Very relevant,Very relevant,Irrelevant,Irrelevant
Very irrelevant,Irrelevant,Irrelevant,Irrelevant,Very irrelevant,Very irrelevant,Irrelevant
Very relevant,Neutral,Very relevant,Neutral,Very relevant,Neutral,Neutral
Relevant,Relevant,Relevant,Very relevant,Relevant,Relevant,Neutral
Relevant,Very relevant,Very relevant,Very relevant,Very relevant,Relevant,Irrelevant
Very relevant,Relevant,Relevant,Very relevant,Very relevant,Very relevant,Neutral
Relevant,Very relevant,Irrelevant,Relevant,Relevant,Neutral,Irrelevant
Relevant,Relevant,Very relevant,Very relevant,Very relevant,Neutral,Neutral
Neutral,Relevant,Relevant,Relevant,Relevant,Very relevant,Relevant
Relevant,Neutral,Relevant,Relevant,Relevant,Relevant,Relevant
Irrelevant,Relevant,Relevant,Very relevant,Very relevant,Relevant,Irrelevant
Very relevant,Neutral,Neutral,Neutral,Neutral,Very relevant,Neutral
Irrelevant,Relevant,Relevant,Very relevant,Very relevant,Relevant,Relevant
Neutral,Relevant,Very relevant,Very relevant,Very relevant,Neutral,Very relevant
Very relevant,Relevant,Very relevant,Relevant,Relevant,Relevant,Very relevant
Relevant,Very relevant,Relevant,Very relevant,Very relevant,Relevant,Relevant
Irrelevant,Very relevant,Very relevant,Very relevant,Relevant,Very irrelevant,Irrelevant
Neutral,Relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant
Very relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant
Relevant,Relevant,Relevant,Relevant,Very relevant,Very relevant,Relevant
Neutral,Relevant,Neutral,Very relevant,Very relevant,Neutral,Relevant
Irrelevant,Neutral,Neutral,Very relevant,Very relevant,Very relevant,Neutral
Very relevant,Neutral,Relevant,Neutral,Neutral,Very relevant,Neutral
Very relevant,Relevant,Relevant,Very relevant,Very relevant,Very relevant,Very irrelevant
Relevant,Relevant,Very relevant,Very relevant,Very relevant,Relevant,Neutral
Very relevant,Relevant,Relevant,Very relevant,Very relevant,Relevant,Neutral
Very relevant,Neutral,Relevant,Very relevant,Very relevant,Very relevant,Very relevant
Relevant,Relevant,Relevant,Very relevant,Very relevant,Very relevant,Neutral
Very relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant
Relevant,Relevant,Very relevant,Very relevant,Very relevant,Very relevant,Relevant
Very relevant,Relevant,Relevant,Very relevant,Very relevant,Very relevant,Neutral
Relevant,Neutral,Relevant,Very relevant,Very relevant,Very relevant,Neutral
Irrelevant,Irrelevant,Relevant,Very relevant,Very relevant,Very relevant,Relevant
Neutral,Neutral,Very relevant,Very relevant,Very relevant,Neutral,Relevant
Very relevant,Relevant,Neutral,Relevant,Very relevant,Very relevant,Very irrelevant
Irrelevant,Irrelevant,Very relevant,Very relevant,Very relevant,Very relevant,Irrelevant
Very relevant,Neutral,Relevant,Very relevant,Very relevant,Neutral,Relevant
Relevant,Relevant,Very relevant,Very relevant,Very relevant,Neutral,Neutral
Neutral,Neutral,Relevant,Neutral,Neutral,Relevant,Relevant
Very irrelevant,Relevant,Relevant,Very relevant,Very relevant,Irrelevant,Neutral
Very relevant,Neutral,Neutral,Relevant,Irrelevant,Neutral,Irrelevant
Neutral,Irrelevant,Relevant,Very relevant,Very relevant,Very relevant,Very irrelevant
Relevant,Relevant,Very relevant,Very relevant,Very relevant,Neutral,Neutral
Relevant,Relevant,Relevant,Very relevant,Very relevant,Very relevant,Very irrelevant
Relevant,Relevant,Relevant,Very relevant,Very relevant,Very relevant,Very irrelevant
Very irrelevant,Relevant,Relevant,Relevant,Very relevant,Very irrelevant,Very irrelevant
Relevant,Relevant,Relevant,Relevant,Very relevant,Neutral,Irrelevant
Relevant,Relevant,Relevant,Relevant,Relevant,Neutral,Relevant
Relevant,Relevant,Relevant,Relevant,Relevant,Very relevant,Irrelevant
Relevant,Relevant,Very relevant,Very relevant,Very relevant,Relevant,Irrelevant
Very relevant,Irrelevant,Irrelevant,Very relevant,Very relevant,Very relevant,Relevant
Very relevant,Very relevant,Neutral,Neutral,Very relevant,Neutral,Relevant
Relevant,Very relevant,Relevant,Relevant,Very relevant,Neutral,Irrelevant
Relevant,Irrelevant,Relevant,Very relevant,Relevant,Neutral,Neutral
Neutral,Neutral,Neutral,Relevant,Relevant,Very relevant,Neutral
Very relevant,Relevant,Relevant,Very relevant,Relevant,Very relevant,Very irrelevant
Relevant,Relevant,Neutral,Very relevant,Very relevant,Neutral,Relevant
Relevant,Neutral,Irrelevant,Very relevant,Relevant,Very relevant,Relevant
Irrelevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant,Relevant
Irrelevant,Relevant,Very relevant,Relevant,Very relevant,Neutral,Irrelevant
Very relevant,Relevant,Relevant,Relevant,Very relevant,Neutral,Relevant
Very irrelevant,Relevant,Relevant,Very irrelevant,Very irrelevant,Very irrelevant,Very irrelevant
Neutral,Neutral,Very relevant,Very relevant,Very relevant,Very relevant,Neutral
Irrelevant,Very irrelevant,Relevant,Very relevant,Relevant,Neutral,Irrelevant
Very relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant
Relevant,Relevant,Relevant,Relevant,Relevant,Very relevant,Relevant
Very irrelevant,Irrelevant,Very relevant,Very relevant,Very relevant,Neutral,Very irrelevant
Relevant,Relevant,Very relevant,Very relevant,Very relevant,Very relevant,Relevant
Relevant,Relevant,Relevant,Very relevant,Very relevant,Very relevant,Neutral
Neutral,Very relevant,Very relevant,Very relevant,Very relevant,Neutral,Relevant
Relevant,Relevant,Relevant,Very relevant,Very relevant,Relevant,Relevant
Relevant,Relevant,Very relevant,Very relevant,Very relevant,Very relevant,Irrelevant
Very relevant,Neutral,Relevant,Relevant,Very relevant,Very relevant,Relevant
Neutral,Relevant,Relevant,Very relevant,Very relevant,Neutral,Irrelevant
Relevant,Relevant,Neutral,Relevant,Very relevant,Neutral,Neutral
Very relevant,Very relevant,Neutral,Very relevant,Very relevant,Very relevant,Neutral
Very relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant
Very relevant,Irrelevant,Relevant,Very relevant,Very relevant,Very relevant,Irrelevant
Very relevant,Neutral,Relevant,Very relevant,Very relevant,Neutral,Neutral
Neutral,Very irrelevant,Neutral,Relevant,Relevant,Relevant,Very irrelevant
Very irrelevant,Very irrelevant,Relevant,Relevant,Relevant,Relevant,Very irrelevant
Irrelevant,Relevant,Neutral,Very irrelevant,Irrelevant,Relevant,Neutral
Relevant,Relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant
Relevant,Irrelevant,Relevant,Very relevant,Irrelevant,Relevant,Very irrelevant
Irrelevant,Relevant,Very relevant,Very relevant,Very relevant,Relevant,Irrelevant
Very relevant,Relevant,Irrelevant,Relevant,Relevant,Neutral,Neutral
Neutral,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant
Relevant,Relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant
Very irrelevant,Very relevant,Relevant,Very relevant,Very relevant,Irrelevant,Relevant
Irrelevant,Irrelevant,Neutral,Very relevant,Very relevant,Irrelevant,Irrelevant
Very relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant
Very relevant,Neutral,Relevant,Very relevant,Very relevant,Neutral,Very relevant
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Very relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant,Irrelevant
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Neutral,Relevant,Relevant,Very relevant,Very relevant,Very relevant,Relevant
Neutral,Relevant,Very relevant,Very relevant,Very relevant,Neutral,Neutral
Very relevant,Irrelevant,Very irrelevant,Irrelevant,Irrelevant,Very relevant,Neutral
Neutral,Relevant,Relevant,Relevant,Relevant,Neutral,Neutral
Very relevant,Relevant,Very relevant,Very relevant,Very relevant,Neutral,Neutral
Irrelevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant
Very relevant,Neutral,Relevant,Very relevant,Very relevant,Neutral,Irrelevant
Very relevant,Neutral,Very relevant,Very relevant,Very relevant,Very relevant,Neutral
Very relevant,Irrelevant,Relevant,Neutral,Irrelevant,Neutral,Irrelevant
Relevant,Irrelevant,Relevant,Relevant,Very relevant,Very relevant,Irrelevant
Very relevant,Relevant,Very relevant,Very relevant,Very relevant,Very relevant,Relevant
Neutral,Neutral,Very relevant,Very relevant,Very relevant,Very relevant,Neutral
Relevant,Relevant,Relevant,Neutral,Relevant,Relevant,Neutral
Neutral,Very relevant,Very relevant,Very relevant,Very relevant,Neutral,Neutral
Irrelevant,Relevant,Relevant,Very relevant,Very relevant,Relevant,Irrelevant
Relevant,Irrelevant,Very relevant,Very relevant,Very relevant,Neutral,Irrelevant
Very relevant,Irrelevant,Very relevant,Very relevant,Very relevant,Very relevant,Irrelevant
Relevant,Very irrelevant,Neutral,Neutral,Very relevant,Neutral,Very irrelevant
Irrelevant,Irrelevant,Relevant,Very relevant,Very relevant,Very relevant,Very irrelevant
Neutral,Relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant
Relevant,Irrelevant,Neutral,Very relevant,Very relevant,Very relevant,Irrelevant
Very relevant,Relevant,Relevant,Relevant,Very relevant,Relevant,Relevant
Relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant,Neutral
Relevant,Relevant,Relevant,Very relevant,Very relevant,Neutral,Very irrelevant
Very relevant,Neutral,Neutral,Very relevant,Very relevant,Very relevant,Irrelevant
Relevant,Neutral,Relevant,Relevant,Neutral,Neutral,Neutral
Relevant,Very relevant,Relevant,Very relevant,Very relevant,Relevant,Irrelevant
Very relevant,Very relevant,Neutral,Very relevant,Very relevant,Very relevant,Neutral
Relevant,Neutral,Very relevant,Relevant,Relevant,Neutral,Neutral
Very relevant,Very relevant,Very relevant,Neutral,Very relevant,Very relevant,Neutral
Very irrelevant,Very relevant,Relevant,Very relevant,Very relevant,Very irrelevant,Relevant
Neutral,Relevant,Neutral,Very relevant,Very relevant,Relevant,Irrelevant
Very relevant,Irrelevant,Relevant,Very relevant,Very relevant,Very relevant,Irrelevant
Very relevant,Relevant,Very relevant,Very relevant,Very relevant,Neutral,Irrelevant
Relevant,Relevant,Neutral,Relevant,Relevant,Relevant,Neutral
Neutral,Neutral,Relevant,Relevant,Relevant,Very relevant,Neutral
Irrelevant,Very irrelevant,Neutral,Relevant,Very relevant,Very relevant,Relevant
Neutral,Neutral,Relevant,Neutral,Relevant,Neutral,Relevant
Very relevant,Very relevant,Relevant,Very relevant,Very relevant,Very relevant,Relevant
Relevant,Relevant,Relevant,Very relevant,Very relevant,Relevant,Relevant
Very relevant,Irrelevant,Relevant,Very relevant,Very relevant,Very relevant,Very irrelevant
Very irrelevant,Very irrelevant,Irrelevant,Relevant,Relevant,Neutral,Irrelevant
Irrelevant,Very relevant,Neutral,Relevant,Relevant,Irrelevant,Neutral
Relevant,Relevant,Neutral,Very relevant,Very relevant,Very relevant,Irrelevant
Very irrelevant,Very relevant,Relevant,Relevant,Very relevant,Very relevant,Very irrelevant
Relevant,Neutral,Relevant,Relevant,Relevant,Neutral,Relevant
Relevant,Relevant,Neutral,Very relevant,Very relevant,Neutral,Relevant
Neutral,Neutral,Neutral,Very relevant,Very relevant,Very relevant,Neutral
Very relevant,Irrelevant,Relevant,Relevant,Relevant,Relevant,Irrelevant
Relevant,Neutral,Very relevant,Relevant,Very relevant,Relevant,Very relevant
Very relevant,Very irrelevant,Relevant,Relevant,Relevant,Very relevant,Neutral
Neutral,Irrelevant,Relevant,Relevant,Relevant,Relevant,Irrelevant
Neutral,Relevant,Relevant,Very relevant,Very relevant,Neutral,Irrelevant
Relevant,Relevant,Very relevant,Very relevant,Very relevant,Relevant,Relevant
Relevant,Neutral,Irrelevant,Very relevant,Very relevant,Relevant,Irrelevant
Relevant,Relevant,Relevant,Very relevant,Very relevant,Very relevant,Very relevant
Relevant,Relevant,Very relevant,Very relevant,Very relevant,Relevant,Very relevant
Very relevant,Irrelevant,Very relevant,Neutral,Relevant,Neutral,Relevant
Relevant,Relevant,Relevant,Relevant,Relevant,Relevant,Relevant
Neutral,Very relevant,Neutral,Very relevant,Very relevant,Very relevant,Irrelevant
Very relevant,Very relevant,Relevant,Very relevant,Very relevant,Relevant,Irrelevant
Very relevant,Relevant,Neutral,Relevant,Relevant,Very relevant,Neutral
Irrelevant,Irrelevant,Irrelevant,Relevant,Very relevant,Very relevant,Irrelevant
Very relevant,Relevant,Relevant,Relevant,Relevant,Neutral,Relevant
Relevant,Neutral,Very relevant,Very relevant,Very relevant,Neutral,Relevant
Very relevant,Relevant,Very relevant,Very relevant,Very relevant,Very relevant,Relevant